campus_code,campus_name,campus_id_number,campus_letter_code
35,Bakersfield,1,BA
73,Channel Islands,23,CI
20,Chico,2,CH
55,Dominguez Hills,3,DH
05,East Bay,6,EB
25,Fresno,4,FR
50,Fullerton,5,FL
30,Humboldt,7,HM
40,Long Beach,8,LB
45,Los Angeles,9,LA
06,Monterey Bay,10,MB
70,Northridge,11,NO
10,Pomona,12,PO
60,Sacramento,13,SA
63,San Bernardino,14,SB
65,San Diego,15,SD
75,San Francisco,16,SF
80,San Jose,17,SJ
15,San Luis Obispo,18,SL
68,San Marcos,19,SM
85,Sonoma,20,SO
90,Stanislaus,21,ST
96,CalStateTEACH,22,CS
